SiteID,BRLat,BRLong,StreamName,Program
FW08WY030,43.34956512,-104.2956885,NA,EPA
FW08WY031,41.38215014,-107.2276043,NA,EPA
FW08WY032,43.29503619,-104.834503,NA,EPA
FW08WY034,44.69584102,-106.338258,NA,EPA
FW08WY038,43.96560817,-106.1714277,NA,EPA
FW08WY042,44.38685019,-104.6773141,NA,EPA
FW08WY050,44.80190718,-106.1480005,NA,EPA
FW08WY043,42.11493928,-104.9851884,NA,EPA
FW08WY046,43.53070043,-104.1010111,NA,EPA
FW08WY051,41.03269786,-105.6756102,NA,EPA
FW08WY055,42.13291291,-106.0714873,NA,EPA
FW08WY058,43.51662703,-104.8413716,NA,EPA
FW08WY061,43.49247586,-106.6606342,NA,EPA
FW08UT001,41.27422296,-112.1538854,NA,EPA
FW08UT003,37.55193806,-113.4090686,NA,EPA
FW08UT005,38.18237181,-111.1541118,NA,EPA
FW08UT007,38.33325837,-112.185427,NA,EPA
FW08UT008,40.89493585,-110.423116,NA,EPA
FW08UT009,37.31864862,-113.7168672,NA,EPA
FW08UT010,39.3616375,-111.043714,NA,EPA
FW08UT011,41.79782893,-113.7101606,NA,EPA
FW08UT012,37.95368314,-112.0634114,NA,EPA
FW08UT013,40.66222979,-111.1798649,NA,EPA
FW08UT021,37.74306236,-112.0985939,NA,EPA
FW08UT026,39.3065305,-110.4051738,NA,EPA
FW08UT028,41.62460181,-111.7298982,NA,EPA
FW08UT032,40.864464,-110.539351,NA,EPA
FW08UT051,38.37090635,-110.7567233,NA,EPA
FW08UT053,38.18736155,-112.0946686,NA,EPA
FW08UT041,37.07694059,-113.5970254,NA,EPA
FW08UT059,41.79317634,-113.8369888,NA,EPA
FW08UT067,37.85231882,-111.4473474,NA,EPA
FW08UT080,41.48977821,-111.2582292,NA,EPA
FW08UT099,39.99030314,-111.0283603,NA,EPA
FW08OH038,41.45313237,-81.82335108,NA,EPA
FW08VA007,37.63333906,-78.90302594,NA,EPA
FW08VA001,37.88508397,-79.15866411,NA,EPA
FW08VA005,37.46347082,-80.34804838,NA,EPA
FW08VA006,37.15926553,-82.16605093,NA,EPA
FW08VA008,37.70786314,-77.98928727,NA,EPA
FW08VA018,37.31028014,-80.68118278,NA,EPA
FW08VA030,37.10205212,-81.04267722,NA,EPA
FW08VA034,38.04565236,-79.87784037,NA,EPA
FW08VA037,37.1594084,-80.85783058,NA,EPA
FW08VA042,37.23958141,-79.44911471,NA,EPA
FW08VA014,36.96530261,-82.05180047,NA,EPA
FW08VA010,38.20339415,-77.63950811,NA,EPA
FW08TX001,30.68545325,-95.20209676,NA,EPA
FW08TX002,33.02550094,-96.9194025,NA,EPA
FW08TX013,30.95941066,-95.83093747,NA,EPA
FW08TX014,31.59065264,-98.1271693,NA,EPA
FW08TX047,31.53465945,-96.58774516,NA,EPA
FW08TX088,30.51303846,-98.51028269,NA,EPA
FW08TX019,30.61815112,-94.293034,NA,EPA
FW08TX025,29.9104657,-95.49178123,NA,EPA
FW08TX032,33.75841057,-97.29398271,NA,EPA
FW08VT001,44.28115936,-72.45384929,NA,EPA
FW08VT002,44.78314819,-72.85897839,NA,EPA
FW08VT010,42.94638954,-72.87178209,NA,EPA
FW08WA007,47.46288389,-120.6610745,NA,EPA
FW08WA009,46.13171242,-121.5872954,NA,EPA
FW08WA046,46.79931424,-121.0911253,NA,EPA
FW08LA006,31.15240248,-92.80900394,NA,EPA
FW08PA001,41.86286449,-75.51340633,NA,EPA
FW08PA005,40.86921697,-76.08339211,NA,EPA
FW08PA018,39.8477077,-76.13974364,NA,EPA
FW08PA029,41.44305077,-75.66055299,NA,EPA
FW08PA037,41.83170096,-76.33241025,NA,EPA
FW08PA039,41.37242695,-77.42404242,NA,EPA
FW08OH003,40.80568231,-81.38993132,NA,EPA
FW08OH004,39.74752967,-82.77872819,NA,EPA
FW08OH005,40.06407859,-82.53392123,NA,EPA
FW08OH007,41.51664843,-81.22317665,NA,EPA
FW08OH028,40.01635667,-83.25296601,NA,EPA
FW08OH033,40.39459662,-82.5034368,NA,EPA
FW08OH032,40.51499987,-83.02566642,NA,EPA
FW08TN005,36.31967155,-87.67491152,NA,EPA
FW08TN002,36.37562986,-84.25585243,NA,EPA
FW08TN004,36.45872528,-82.42141579,NA,EPA
FW08TN006,36.52332745,-81.95672963,NA,EPA
FW08TN007,35.39696378,-84.27655869,NA,EPA
FW08TN013,35.67241402,-87.26333295,NA,EPA
FW08TN014,35.67847269,-84.89154319,NA,EPA
FW08TN019,35.82909924,-83.48463899,NA,EPA
FW08TN024,35.06898411,-86.96136076,NA,EPA
FW08TN025,35.90159547,-87.84312679,NA,EPA
FW08TN029,35.76148187,-87.49864065,NA,EPA
FW08TN030,35.54916085,-86.95243048,NA,EPA
FW08TN031,36.22266757,-82.97198856,NA,EPA
FW08TN035,36.49377313,-83.61879405,NA,EPA
FW08WY006,42.873144,-109.1805961,NA,EPA
FW08WA005,46.20886743,-121.7938865,NA,EPA
FW08WA028,47.5038301,-119.2924423,NA,EPA
FW08MO001,39.14697049,-91.39218266,NA,EPA
FW08MO004,37.77833107,-91.03216734,NA,EPA
FW08MO005,39.92375623,-95.06118003,NA,EPA
FW08MO006,37.88951196,-93.72079998,NA,EPA
FW08MO007,38.48030586,-93.61433623,NA,EPA
FW08MO012,39.73426795,-93.94027089,NA,EPA
FW08MO026,39.21987267,-91.92117078,NA,EPA
FW08MO035,39.20884366,-92.53459835,NA,EPA
FW08MO036,39.09748535,-94.3516648,NA,EPA
FW08MO044,37.42968171,-93.24450517,NA,EPA
FW08AZ008,32.87100703,-109.1981321,NA,EPA
FW08AZ044,34.23975405,-112.0670972,NA,EPA
FW08AZ090,32.71136818,-114.3204076,NA,EPA
FW08AZ107,32.71967085,-109.0974956,NA,EPA
FW08AZ134,32.89332433,-109.7940786,NA,EPA
FW08AZ139,33.02098181,-109.2997034,NA,EPA
FW08RIA9038,40.60776761,-91.68335794,NA,EPA
FW08RIA9060,40.58214489,-94.14788494,NA,EPA
FW08RIA9037,40.83458174,-93.8599366,NA,EPA
FW08RKS9002,38.4925,-96.583333,NA,EPA
FW08RKS9003,39.73790724,-101.8768828,NA,EPA
FW08RKS9888,39.54454681,-95.7311285,NA,EPA
FW08RKS9999,39.08720874,-95.29023053,NA,EPA
FW08RMO9003,36.70940739,-90.6967141,NA,EPA
FW08RMO9006,37.87068546,-91.92974504,NA,EPA
FW08RNE9010,42.76731871,-103.927579,NA,EPA
FW08RNE9011,42.6905792,-103.5487203,NA,EPA
FW08RNE9999,42.44965649,-103.2627373,NA,EPA
FW08RNE9024,40.48034137,-101.583417,NA,EPA
FW08RNE9022,40.11065926,-97.05786967,NA,EPA
FW08ND081,47.09668968,-101.8016702,NA,EPA
FW08RKS9777,39.10655601,-96.60643503,NA,EPA
FW08ID003,46.86031503,-116.0390442,NA,EPA
FW08ID004,45.07920575,-116.0947575,NA,EPA
FW08ID005,42.90979506,-112.327078,NA,EPA
FW08ID006,42.00729662,-115.2197238,NA,EPA
FW08ID007,45.02324849,-114.4461665,NA,EPA
FW08ID024,42.17904009,-114.2219629,NA,EPA
FW08ID036,43.60292561,-115.5733393,NA,EPA
FW08ID044,42.7527138,-116.0743669,NA,EPA
FW08ID053,44.84403732,-113.8166768,NA,EPA
FW08ID008,42.0474638,-114.4203312,NA,EPA
FW08ID034,42.46121104,-111.9125695,NA,EPA
FW08ID057,43.31272807,-114.1155635,NA,EPA
FW08ID061,44.20986481,-115.5467376,NA,EPA
FW08RMT9013,48.92267492,-108.38435,NA,EPA
FW08MT059,48.14320727,-112.1246251,NA,EPA
FW08ND118,47.21306694,-101.6901873,NA,EPA
FW08MT012,48.22390983,-105.5177517,NA,EPA
FW08AZ194,31.56235429,-111.0460433,NA,EPA
FW08AZ019,32.40882122,-111.1606295,NA,EPA
FW08ND142,46.4305193,-102.1681364,NA,EPA
FW08ND064,47.16788712,-102.6457541,NA,EPA
FW08CO015,40.19171518,-105.2005421,NA,EPA
FW08MS013,32.80646117,-88.55027714,NA,EPA
FW08MS009,31.05988801,-88.88820272,NA,EPA
FW08MS020,31.19723352,-89.69055391,NA,EPA
FW08AZ022,33.29395085,-109.494703,NA,EPA
FW08AZ075,33.10544383,-109.299405,NA,EPA
FW08AZ171,33.67588001,-109.0840924,NA,EPA
FW08AL011,34.71586192,-85.61116941,NA,EPA
FW08IN007,39.43393657,-87.12165125,NA,EPA
FW08IN012,39.18727431,-85.34940476,NA,EPA
FW08IN019,39.77823548,-86.44708256,NA,EPA
FW08IN027,40.01111906,-86.89988443,NA,EPA
FW08IN039,40.13717208,-85.20353058,NA,EPA
FW08IN031,40.71212718,-86.85060697,NA,EPA
FW08LA062,31.36398535,-93.19880578,NA,EPA
FW08LA079,30.1777723,-93.05098255,NA,EPA
FW08LA092,32.49502418,-91.51857854,NA,EPA
FW08LA097,31.39846907,-91.7640648,NA,EPA
FW08LA102,32.37390452,-93.89218832,NA,EPA
FW08AR044,35.09489821,-93.4227353,NA,EPA
FW08AR073,36.42861166,-93.14634877,NA,EPA
FW08AR099,35.71495398,-92.88273831,NA,EPA
