"ReachID","SiteID","Year","Date","BRLat","BRLong","BFWidth","Grad","RchLen","BF_WDRatio","BF_Height","RPD ","PetPool","Sin ","PctDry","BankAngle","D50","PoolTailFines2","PctFines2","PctFines6","LWD_Freq","LWD_Vol","Program"
"2526","1921",2006,NA,45.859288,-110.894536,3.41,1.673,172.1,13.27,NA,0.31,52.53,2.086,NA,82,0.017,23.67,NA,NA,180.13,12.046,"PIBO"
"7494","959",2013,NA,43.851487,-118.757401,3.82,0.461,160.5,7.26,NA,0.56,71.53,2.071,NA,128,0.004,29.63,NA,NA,12.46,21.942,"PIBO"
"1066","762",2001,NA,44.666789,-115.684233,4.87,0.636,128.9,14.39,NA,0.37,77.27,2.069,NA,77,0.049,NA,NA,NA,333.59,28.251,"PIBO"
"1084","777",2002,NA,45.262763,-115.824307,3.61,0.29,82.9,8.26,NA,0.5,93.85,2.067,NA,67,0.004,NA,NA,NA,373.94,55.44,"PIBO"
"5106","1993",2009,NA,45.409472,-110.017148,4.69,0.21,176.3,10.42,NA,0.42,78.96,2.057,NA,88,0.005,24,NA,NA,11.34,0.506,"PIBO"
"154","126",2003,NA,48.61542,-115.474809,5.1,0.532,174.7,27.97,NA,0.58,94.91,2.055,NA,67,NA,10.78,NA,NA,1036.06,95.6,"PIBO"
"7591","2596",2013,NA,44.194094,-119.342246,3.52,0.63,126.9,8.34,NA,0.3,81.72,2.053,NA,95,0.01,58,NA,NA,244.29,69.642,"PIBO"
"1100","785",2001,NA,44.961868,-116.168086,2.92,1.593,91,16.05,NA,0.32,54.95,2.05,NA,96,0.05,NA,NA,NA,208.79,21.043,"PIBO"
"5515","1413",2010,NA,44.883986,-116.636592,2.93,1.218,157.7,9.89,NA,0.12,35.07,2.043,NA,125,NA,NA,NA,NA,NA,NA,"PIBO"
"2518","1993",2006,NA,45.409472,-110.017148,5.96,0.146,171.4,11.74,NA,0.37,59.8,2.038,NA,83,0.006,36.37,NA,NA,5.83,0.601,"PIBO"
"7384","462",2013,NA,45.341139,-114.068779,7.16,1.699,150.1,16.06,NA,0.3,50.83,2.034,NA,105,0.042,6,NA,NA,206.53,49.788,"PIBO"
"6257","1906",2011,NA,43.930573,-121.472391,1.73,1.579,178,8.49,NA,0.11,23.31,2.034,NA,131,0.002,85.45,NA,NA,89.89,21.333,"PIBO"
"6839","2268",2012,NA,48.3457,-117.033362,6.18,0.166,174.8,8.47,NA,0.63,82.84,2.033,NA,112,0.002,67.19,NA,NA,223.11,61.898,"PIBO"
"2361","779",2006,NA,45.143701,-116.178674,7.82,0.414,166.7,18.53,NA,0.71,57.05,2.03,NA,108,0.0495,6.74,NA,NA,167.97,50.951,"PIBO"
"4409","1171",2008,NA,42.325978,-113.011209,3.63,0.464,166,17.75,NA,0.19,52.35,2.029,NA,134,0.002,65.62,NA,NA,0,0,"PIBO"
"5429","1350",2010,NA,46.226969,-114.61957,6.99,0.285,165,10.32,NA,0.52,91.39,2.027,NA,102,0.009,6.93,NA,NA,915.15,125.975,"PIBO"
"6785","2200",2012,NA,45.785972,-110.759811,1.98,0.206,165,3.96,NA,0,0,2.027,NA,115,0.002,NA,NA,NA,0,0,"PIBO"
"4823","167",2009,NA,48.957196,-114.49403,2.92,1.412,176.4,9.73,NA,0.2,47.22,2.025,NA,101,0.05,2.2,NA,NA,51.02,5.281,"PIBO"
"4335","959",2008,NA,43.851487,-118.757401,3.41,0.243,164.7,10.53,NA,0.43,75.77,2.018,NA,116,0.006,31.07,NA,NA,18.21,38.012,"PIBO"
"4033","2533",2007,NA,44.279408,-115.633334,27.52,1.156,488.6,41.35,NA,0.41,17.29,2.018,NA,125,0.24,1,NA,NA,476.87,147.349,"PIBO"
"4839","219",2009,NA,47.064764,-112.416036,3.5,1.508,185,13.44,NA,0,0,2.017,NA,115,0.032,NA,NA,NA,0,0,"PIBO"
"6300","1930",2011,NA,45.076244,-111.319995,12.79,0.374,214.1,19.29,NA,1.06,64.13,2.016,NA,87,0.033,0.44,NA,NA,0,0,"PIBO"
"1055","753",2003,NA,45.156791,-115.677379,4.67,0.671,160.9,9.52,NA,0.36,64.64,2.011,NA,74,0.014,10.58,NA,NA,739.59,140.516,"PIBO"
"5420","1342",2010,NA,46.535576,-115.060369,2.06,0.763,158.5,3.48,NA,0.34,90.35,2.011,NA,71,0.002,57.2,NA,NA,309.15,65.069,"PIBO"
"4169","302",2008,NA,46.928352,-114.825183,15.5,1.522,277.3,40.69,NA,0.34,28.96,2.009,NA,121,0.071,3.33,NA,NA,335.38,120.874,"PIBO"
"558","419",2001,NA,45.362921,-115.04801,3.91,0.748,93.6,15.45,NA,0.24,51.82,2.009,NA,106,0.026,NA,NA,NA,149.57,110.08,"PIBO"
"1402","974",2002,NA,44.130238,-118.871424,1.06,0.209,110,NA,NA,NA,NA,2.007,NA,84,NA,NA,NA,NA,NA,NA,"PIBO"
"2334","660",2006,NA,44.90367,-114.327233,5.93,0.806,170,18.05,NA,0.37,75.12,2,NA,94,0.0075,18.38,NA,NA,341.18,79.079,"PIBO"
"7520","1031",2013,NA,44.262908,-119.283994,4.54,0.387,193.7,9.89,NA,0.36,75.74,1.997,NA,96,0.008,69.82,NA,NA,252.97,48.667,"PIBO"
"6612","600",2012,NA,43.983801,-114.263328,9.19,1.506,170.7,32.26,NA,0.38,65.32,1.994,NA,128,0.006,13.63,NA,NA,29.29,11.136,"PIBO"
"2326","600",2006,NA,43.983801,-114.263328,3.51,1.248,164.3,11.94,NA,0.35,64.27,1.992,NA,103,0.033,1.81,NA,NA,6.09,0.1,"PIBO"
"2060","1171",2005,NA,42.325978,-113.011209,5.52,0.371,188.8,13.81,NA,0.23,33.58,1.992,NA,128,0.002,30.05,NA,NA,0,0,"PIBO"
"305","242",2003,NA,46.310019,-112.939033,6.35,0.195,210,17.42,NA,0.57,93.71,1.983,NA,112,0.007,23,NA,NA,109.52,7.807,"PIBO"
"5335","1264",2010,NA,48.980227,-116.917577,4.26,1.267,169.7,8.2,NA,0.35,59.81,1.98,NA,87,0.0065,29.85,NA,NA,671.77,1084.868,"PIBO"
"896","649",2003,NA,44.590488,-114.276482,1.55,NA,126.5,NA,NA,NA,NA,1.977,NA,106,NA,NA,NA,NA,NA,NA,"PIBO"
"1643","1171",2004,NA,42.325978,-113.011209,3.65,0.465,170,15.81,NA,0.22,40.06,1.977,NA,138,0.002,53.64,NA,NA,0,0,"PIBO"
"5238","2845",2009,NA,44.50695,-112.42554,2.48,1.161,166.2,8.1,NA,0.21,63.9,1.969,NA,95,0.013,29.07,NA,NA,0,0,"PIBO"
"3977","2094",2007,NA,44.416144,-115.393367,20.1,0.106,160,39.9,NA,1.85,40.06,1.968,NA,93,0.014,NA,NA,NA,12.5,0.246,"PIBO"
"578","435",2003,NA,45.393044,-115.194877,4.38,0.628,164,14.63,NA,0.31,72.5,1.964,NA,98,0.048,3.83,NA,NA,30.49,6.502,"PIBO"
"5626","1498",2010,NA,42.33751,-113.044484,3.9,0.867,216.9,16.91,NA,0.15,32.46,1.963,NA,141,0.002,53.71,NA,NA,0,0,"PIBO"
"7595","2601",2013,NA,44.88244,-111.624948,5.81,0.236,148.2,10.26,NA,0.45,71.66,1.96,NA,109,0.018,33.55,NA,NA,215.92,67.902,"PIBO"
"4577","2670",2008,NA,44.648804,-118.235378,3.13,0.382,125.5,21.87,NA,0.3,66.37,1.958,NA,120,NA,NA,NA,NA,NA,NA,"PIBO"
"5232","2839",2009,NA,45.57736,-112.107585,4,0.237,164.9,10.89,NA,0.28,60.16,1.958,NA,87,0.006,51.4,NA,NA,157.67,9.729,"PIBO"
"315","251",2004,NA,45.986325,-113.597441,6.23,0.807,169.8,23.2,NA,0.38,55.42,1.949,NA,97,0.037,21.07,NA,NA,35.34,7.906,"PIBO"
"570","1668",2003,NA,45.372907,-115.207982,2.28,1.36,176.5,11.24,NA,0.28,79.09,1.948,NA,98,0.042,13.1,NA,NA,84.99,11.989,"PIBO"
"5317","2925",2009,NA,40.285668,-111.224744,5.21,0.476,151.3,13.33,NA,0.36,64.57,1.945,NA,123,0.032,28.38,NA,NA,0,0,"PIBO"
"7435","643",2013,NA,44.354049,-114.472597,3.3,1.978,136,14.92,NA,0.16,29.56,1.937,NA,121,0.0375,24.24,NA,NA,80.88,2.579,"PIBO"
"3756","2301",2007,NA,47.551781,-115.375845,6.46,1.181,164.3,17.04,NA,0,0,1.926,NA,120,0.064,NA,NA,NA,267.8,15.106,"PIBO"
"2513","1171",2006,NA,42.325978,-113.011209,3.74,0.461,169.2,13.51,NA,0.18,57.15,1.925,NA,115,0.002,67.37,NA,NA,29.55,0.648,"PIBO"
"3827","2200",2007,NA,45.785972,-110.759811,1.82,0.275,167,3.99,NA,0.12,54.73,1.924,NA,107,0.002,87.87,NA,NA,0,0,"PIBO"
"7267","18",2013,NA,48.788963,-119.949251,0.48,2,121,2.8,NA,0,0,1.921,NA,63,0.002,NA,NA,NA,0,0,"PIBO"
"4188","442",2008,NA,45.34706,-115.25303,5.72,0.762,175.8,11.53,NA,0.49,65.42,1.919,NA,89,0.025,3.33,NA,NA,233.22,41.818,"PIBO"
"7635","2670",2013,NA,44.648804,-118.235378,3.08,0.334,128.9,9.69,NA,0.32,67.26,1.918,NA,112,0.009,71.76,NA,NA,23.27,3.283,"PIBO"
"330","264",2004,NA,45.560796,-114.319833,6.74,0.953,176.2,35.31,NA,0.44,62.94,1.915,NA,90,0.0245,91.35,NA,NA,408.63,80.429,"PIBO"
"1682","1196",2004,NA,45.836789,-115.436453,4.01,0.089,124,NA,NA,NA,NA,1.914,NA,90,NA,NA,NA,NA,NA,NA,"PIBO"
"6213","1013",2011,NA,44.571842,-118.402566,2.83,0.833,166.8,8.16,NA,0.3,23.44,1.908,NA,121,0.002,82.86,NA,NA,413.67,149.192,"PIBO"
"3973","2090",2007,NA,44.420992,-115.474447,11.13,0.144,104,31.09,NA,1.34,75.87,1.908,NA,86,0.027,NA,NA,NA,0,0,"PIBO"
"4967","628",2009,NA,44.126282,-114.730056,4.59,0.901,165.4,9.39,NA,0.54,78.9,1.906,NA,98,0.0045,33.33,NA,NA,785.97,100.431,"PIBO"
"809","600",2004,NA,43.983801,-114.263328,2.99,1.272,173,16.86,NA,0.28,38.38,1.905,NA,101,0.03,27.25,NA,NA,0,0,"PIBO"
